sourceX,sourceY,member group,responder type,intro,photo,from Munich
meetup3,joined meetup group,all members,early responders,1,12,13
meetup2,responded No,members since meetup 2,early responders,1,2,1
meetup4,responded but did not show up,members since meetup 4,all responders,1,15,16
meetup4,responded but did not show up,members since meetup 2,early responders,0,1,1
meetup3,responded No,all members,early responders,0,6,7
meetup3,responded and showed up,members since meetup 2,very late responders,0,1,2
meetup2,responded and showed up,all members,all responders,8,57,64
meetup3,joined meetup group,members since meetup 4,early responders,1,12,13
meetup3,did not respond,members since meetup 1,very late responders,0,4,4
meetup1,did not respond,all members,early responders,0,3,3
meetup3,did not respond,all members,early responders,1,8,10
meetup2,did not respond,members since meetup 2,all responders,0,127,141
meetup2,responded and showed up,members since meetup 2,very late responders,1,1,3
meetup4,responded but did not show up,members since meetup 1,early responders,0,4,4
meetup2,responded and showed up,members since meetup 2,normal responders,0,2,3
meetup2,responded No,members since meetup 1,early responders,0,3,3
meetup4,did not respond,members since meetup 3,all responders,1,222,223
meetup4,responded No,members since meetup 3,early responders,0,4,4
meetup4,responded but did not show up,members since meetup 4,very late responders,0,6,7
meetup3,responded No,members since meetup 2,all responders,0,6,10
meetup4,responded and showed up,members since meetup 1,early responders,1,6,7
meetup1,did not respond,members since meetup 1,very late responders,0,1,1
meetup3,responded and showed up,all members,early responders,2,17,19
before meetup1,joined meetup group,all members,all responders,19,327,338
meetup2,did not respond,all members,all responders,9,365,387
meetup4,responded and showed up,members since meetup 3,early responders,0,3,4
meetup2,responded No,members since meetup 2,all responders,1,15,17
meetup1,responded but did not show up,all members,normal responders,0,1,1
meetup4,responded but did not show up,members since meetup 2,all responders,0,3,3
before meetup1,joined meetup group,members since meetup 1,very late responders,1,9,9
meetup4,responded No,members since meetup 1,all responders,1,14,13
meetup4,responded No,members since meetup 4,normal responders,0,1,1
meetup2,responded and showed up,all members,early responders,1,11,12
meetup3,responded and showed up,members since meetup 1,normal responders,0,3,3
meetup3,responded but did not show up,members since meetup 2,all responders,0,12,10
meetup4,responded No,members since meetup 2,normal responders,0,1,3
meetup3,did not respond,members since meetup 3,all responders,0,174,180
meetup2,responded but did not show up,all members,all responders,0,48,47
meetup2,did not respond,all members,very late responders,0,2,2
meetup2,did not respond,members since meetup 1,very late responders,0,2,2
meetup1,responded No,members since meetup 1,very late responders,0,1,1
meetup3,responded and showed up,all members,all responders,8,68,72
meetup3,did not respond,all members,very late responders,1,12,15
meetup4,responded but did not show up,members since meetup 1,very late responders,0,1,1
meetup3,joined meetup group,members since meetup 4,very late responders,0,12,18
meetup4,responded and showed up,members since meetup 3,all responders,1,7,10
meetup1,responded but did not show up,members since meetup 1,normal responders,0,1,1
meetup4,responded and showed up,all members,normal responders,1,12,13
meetup3,responded and showed up,members since meetup 1,very late responders,0,2,2
meetup4,responded but did not show up,members since meetup 3,very late responders,0,5,6
meetup3,responded No,all members,very late responders,0,1,1
meetup2,joined meetup group,members since meetup 3,early responders,0,8,12
meetup3,did not respond,members since meetup 3,early responders,0,1,1
meetup1,responded No,members since meetup 1,all responders,2,44,44
meetup3,responded but did not show up,members since meetup 3,early responders,0,0,1
meetup3,responded but did not show up,members since meetup 3,normal responders,0,0,1
meetup1,responded but did not show up,all members,early responders,0,1,1
meetup3,joined meetup group,members since meetup 4,normal responders,0,8,7
meetup3,responded No,members since meetup 1,very late responders,0,1,1
meetup4,responded and showed up,members since meetup 1,very late responders,1,4,4
meetup4,responded and showed up,members since meetup 1,normal responders,0,5,5
meetup1,joined meetup group,members since meetup 2,normal responders,0,2,4
meetup1,responded and showed up,all members,all responders,12,53,57
meetup4,responded but did not show up,members since meetup 3,normal responders,0,1,1
meetup2,responded No,members since meetup 1,normal responders,0,2,2
meetup4,responded No,all members,normal responders,0,2,4
meetup1,responded and showed up,members since meetup 1,very late responders,1,3,3
meetup2,responded No,all members,early responders,1,5,4
meetup2,joined meetup group,members since meetup 3,all responders,2,243,252
meetup4,responded but did not show up,all members,early responders,1,9,13
meetup1,responded No,members since meetup 1,early responders,0,5,6
meetup2,responded and showed up,members since meetup 1,all responders,6,37,37
meetup4,responded No,all members,early responders,1,15,17
meetup3,responded No,members since meetup 1,normal responders,0,1,1
meetup3,responded and showed up,members since meetup 1,early responders,1,6,6
meetup4,responded No,members since meetup 1,very late responders,0,4,4
meetup2,joined meetup group,all members,early responders,0,8,12
meetup2,responded but did not show up,members since meetup 2,all responders,0,28,27
meetup3,did not respond,members since meetup 1,normal responders,0,2,2
meetup2,responded No,all members,normal responders,0,2,2
before meetup1,joined meetup group,all members,very late responders,1,9,9
meetup1,responded and showed up,all members,early responders,2,9,8
meetup3,responded and showed up,members since meetup 3,early responders,0,7,9
meetup2,joined meetup group,members since meetup 3,very late responders,0,6,7
meetup3,responded but did not show up,members since meetup 1,all responders,1,11,11
meetup4,responded No,members since meetup 4,all responders,0,12,13
meetup1,joined meetup group,members since meetup 2,very late responders,1,3,6
meetup4,responded and showed up,members since meetup 4,all responders,0,26,29
meetup3,responded but did not show up,all members,normal responders,0,1,2
meetup2,responded No,all members,all responders,5,47,52
meetup3,did not respond,members since meetup 1,all responders,10,269,280
meetup2,did not respond,members since meetup 1,all responders,9,238,246
meetup4,responded but did not show up,all members,all responders,1,34,39
meetup2,responded but did not show up,members since meetup 2,very late responders,0,2,2
meetup4,did not respond,members since meetup 2,all responders,1,175,190
meetup2,responded but did not show up,members since meetup 1,very late responders,0,1,1
meetup3,responded and showed up,members since meetup 3,normal responders,1,3,3
meetup4,responded and showed up,members since meetup 2,normal responders,0,1,1
meetup4,responded and showed up,members since meetup 2,very late responders,0,0,3
meetup3,responded No,all members,all responders,3,43,48
meetup3,responded No,members since meetup 3,early responders,0,0,1
meetup2,joined meetup group,all members,all responders,2,243,252
meetup2,joined meetup group,members since meetup 3,normal responders,1,4,5
meetup3,responded No,members since meetup 1,early responders,0,4,4
meetup4,responded and showed up,members since meetup 4,very late responders,0,5,9
meetup3,responded and showed up,members since meetup 3,all responders,2,35,36
meetup4,responded and showed up,members since meetup 3,very late responders,0,1,1
meetup4,responded but did not show up,members since meetup 1,all responders,0,8,8
meetup4,did not respond,all members,all responders,17,820,845
meetup4,responded but did not show up,all members,very late responders,0,14,16
meetup3,responded but did not show up,members since meetup 1,early responders,0,2,2
meetup2,responded No,members since meetup 1,all responders,4,32,35
meetup3,joined meetup group,all members,very late responders,0,12,18
meetup1,responded and showed up,all members,normal responders,0,5,5
meetup2,did not respond,members since meetup 1,normal responders,0,1,1
meetup1,responded and showed up,members since meetup 1,early responders,2,9,8
meetup4,responded and showed up,members since meetup 1,all responders,3,20,21
meetup3,responded but did not show up,all members,all responders,1,43,42
before meetup1,joined meetup group,all members,early responders,2,18,18
meetup4,responded No,members since meetup 4,very late responders,0,1,2
meetup4,responded and showed up,members since meetup 2,early responders,1,6,5
meetup3,responded but did not show up,members since meetup 1,normal responders,0,1,1
meetup4,responded and showed up,all members,very late responders,1,10,17
meetup4,responded but did not show up,members since meetup 3,early responders,0,1,4
meetup4,did not respond,members since meetup 4,all responders,0,138,136
meetup1,joined meetup group,members since meetup 2,early responders,1,8,9
meetup4,responded No,members since meetup 1,early responders,1,8,7
meetup1,responded No,members since meetup 1,normal responders,0,1,1
meetup2,responded No,members since meetup 2,very late responders,0,0,1
meetup3,responded but did not show up,members since meetup 2,early responders,0,1,0
meetup3,responded No,members since meetup 1,all responders,3,23,23
meetup3,did not respond,all members,normal responders,0,3,4
meetup1,responded and showed up,all members,very late responders,1,3,3
meetup1,responded but did not show up,all members,very late responders,0,4,4
meetup1,responded No,all members,normal responders,0,1,1
meetup2,responded and showed up,members since meetup 1,normal responders,0,4,4
meetup4,responded No,members since meetup 2,very late responders,1,1,1
meetup4,responded and showed up,all members,all responders,5,61,70
meetup1,did not respond,all members,very late responders,0,1,1
meetup4,responded and showed up,members since meetup 3,normal responders,1,3,4
meetup1,responded and showed up,members since meetup 1,all responders,12,53,57
meetup3,responded and showed up,all members,normal responders,1,7,7
meetup1,responded and showed up,members since meetup 1,normal responders,0,5,5
meetup4,responded but did not show up,members since meetup 3,all responders,0,8,12
meetup4,responded but did not show up,members since meetup 4,early responders,1,3,4
meetup1,responded but did not show up,members since meetup 1,early responders,0,1,1
meetup1,responded No,all members,very late responders,0,1,1
meetup1,joined meetup group,members since meetup 2,all responders,3,190,212
meetup2,responded but did not show up,members since meetup 1,early responders,0,2,2
meetup3,did not respond,members since meetup 3,normal responders,0,1,1
meetup3,joined meetup group,members since meetup 4,all responders,1,191,194
meetup4,responded No,members since meetup 2,all responders,1,4,9
meetup1,did not respond,all members,all responders,2,176,180
meetup3,responded but did not show up,members since meetup 3,all responders,0,20,21
meetup1,responded but did not show up,all members,all responders,3,54,57
meetup3,responded No,members since meetup 2,early responders,0,2,2
meetup2,responded No,all members,very late responders,0,0,1
meetup4,responded and showed up,members since meetup 2,all responders,1,8,10
meetup1,responded but did not show up,members since meetup 1,all responders,3,54,57
meetup3,did not respond,members since meetup 3,very late responders,0,6,7
meetup3,responded No,all members,normal responders,0,2,3
meetup2,responded but did not show up,members since meetup 1,all responders,0,20,20
meetup3,responded but did not show up,all members,very late responders,1,2,2
meetup2,did not respond,members since meetup 2,normal responders,0,0,1
meetup4,responded No,all members,very late responders,1,6,7
meetup4,responded No,members since meetup 2,early responders,0,1,3
meetup2,responded and showed up,all members,normal responders,0,6,7
meetup2,responded and showed up,members since meetup 1,early responders,1,7,7
meetup4,responded No,all members,all responders,2,36,42
meetup1,responded No,all members,early responders,0,5,6
meetup2,responded but did not show up,all members,early responders,0,3,3
meetup4,responded but did not show up,members since meetup 4,normal responders,0,4,3
meetup4,responded but did not show up,members since meetup 1,normal responders,0,2,2
meetup1,responded but did not show up,members since meetup 1,very late responders,0,4,4
meetup3,responded and showed up,members since meetup 1,all responders,5,24,24
meetup4,did not respond,members since meetup 1,all responders,15,285,296
meetup4,responded and showed up,members since meetup 4,normal responders,0,3,3
meetup2,did not respond,all members,normal responders,0,1,2
before meetup1,joined meetup group,all members,normal responders,0,7,7
meetup1,did not respond,members since meetup 1,all responders,2,176,180
meetup3,did not respond,members since meetup 1,early responders,1,6,6
meetup3,responded No,members since meetup 2,normal responders,0,1,2
meetup1,joined meetup group,all members,early responders,1,8,9
meetup1,responded No,all members,all responders,2,44,44
meetup2,responded and showed up,members since meetup 2,all responders,2,20,27
meetup3,joined meetup group,all members,normal responders,0,8,7
meetup4,responded No,members since meetup 4,early responders,0,2,3
meetup3,responded No,members since meetup 3,all responders,0,14,15
meetup3,did not respond,members since meetup 2,very late responders,1,2,4
meetup3,did not respond,members since meetup 2,normal responders,0,0,1
meetup1,joined meetup group,all members,normal responders,0,2,4
before meetup1,joined meetup group,members since meetup 1,normal responders,0,7,7
meetup2,joined meetup group,all members,normal responders,1,4,5
meetup3,responded and showed up,members since meetup 2,early responders,1,4,4
meetup2,responded and showed up,members since meetup 1,very late responders,1,6,6
meetup2,joined meetup group,all members,very late responders,0,6,7
meetup4,responded but did not show up,members since meetup 2,very late responders,0,2,2
meetup1,did not respond,members since meetup 1,early responders,0,3,3
before meetup1,joined meetup group,members since meetup 1,all responders,19,327,338
meetup4,responded but did not show up,all members,normal responders,0,7,6
meetup3,responded but did not show up,all members,early responders,0,3,3
meetup1,joined meetup group,all members,all responders,3,190,212
meetup3,did not respond,members since meetup 2,all responders,2,163,180
meetup3,responded and showed up,members since meetup 2,normal responders,0,1,1
meetup3,joined meetup group,all members,all responders,1,191,194
meetup2,responded and showed up,members since meetup 2,early responders,0,4,5
meetup4,responded and showed up,members since meetup 4,early responders,0,7,6
meetup2,responded but did not show up,all members,very late responders,0,3,3
meetup3,responded but did not show up,members since meetup 1,very late responders,1,2,2
meetup2,responded but did not show up,members since meetup 2,early responders,0,1,1
meetup3,responded and showed up,all members,very late responders,0,3,4
meetup3,did not respond,all members,all responders,12,606,640
meetup2,did not respond,members since meetup 2,early responders,0,1,2
meetup1,joined meetup group,all members,very late responders,1,3,6
meetup3,responded and showed up,members since meetup 2,all responders,1,9,12
meetup2,responded and showed up,all members,very late responders,2,7,9
meetup4,responded and showed up,all members,early responders,2,22,22
meetup4,responded No,members since meetup 3,all responders,0,6,7
before meetup1,joined meetup group,members since meetup 1,early responders,2,18,18
meetup2,did not respond,members since meetup 1,early responders,1,6,6
meetup3,did not respond,members since meetup 2,early responders,0,1,3
meetup2,did not respond,all members,early responders,1,7,8
